Training model with 0.01 epochs
Epoch 1/30, Train Loss: 5.0008, Val Loss: 4.4003
Epoch 2/30, Train Loss: 4.1820, Val Loss: 3.9227
Epoch 3/30, Train Loss: 3.5183, Val Loss: 3.1136
Epoch 4/30, Train Loss: 2.8285, Val Loss: 2.5869
Epoch 5/30, Train Loss: 2.2739, Val Loss: 1.9298
Epoch 6/30, Train Loss: 1.6927, Val Loss: 1.4977
Epoch 7/30, Train Loss: 1.3644, Val Loss: 1.2540
Epoch 8/30, Train Loss: 1.1539, Val Loss: 1.0629
Epoch 9/30, Train Loss: 0.9847, Val Loss: 0.9173
Epoch 10/30, Train Loss: 0.8556, Val Loss: 0.8033
Epoch 11/30, Train Loss: 0.7573, Val Loss: 0.7204
Epoch 12/30, Train Loss: 0.6798, Val Loss: 0.6523
Epoch 13/30, Train Loss: 0.6165, Val Loss: 0.6010
Epoch 14/30, Train Loss: 0.5630, Val Loss: 0.5476
Epoch 15/30, Train Loss: 0.5168, Val Loss: 0.5041
Epoch 16/30, Train Loss: 0.4775, Val Loss: 0.4662
Epoch 17/30, Train Loss: 0.4434, Val Loss: 0.4384
Epoch 18/30, Train Loss: 0.4131, Val Loss: 0.4085
Epoch 19/30, Train Loss: 0.3872, Val Loss: 0.3868
Epoch 20/30, Train Loss: 0.3640, Val Loss: 0.3643
Epoch 21/30, Train Loss: 0.3435, Val Loss: 0.3446
Epoch 22/30, Train Loss: 0.3250, Val Loss: 0.3288
Epoch 23/30, Train Loss: 0.3084, Val Loss: 0.3135
Epoch 24/30, Train Loss: 0.2937, Val Loss: 0.2984
Epoch 25/30, Train Loss: 0.2801, Val Loss: 0.2907
Epoch 26/30, Train Loss: 0.2675, Val Loss: 0.2734
Epoch 27/30, Train Loss: 0.2559, Val Loss: 0.2627
Epoch 28/30, Train Loss: 0.2455, Val Loss: 0.2576
Epoch 29/30, Train Loss: 0.2355, Val Loss: 0.2446
Epoch 30/30, Train Loss: 0.2267, Val Loss: 0.2358
